"GeneID","SYMBOL","ENSEMBL","Control_1","Control_2","Control_3","ZIKV_1","ZIKV_2","ZIKV_3"
"64343","AZI2","ENSG00000163512",503.624634215809,497.927020964543,456.379856981741,1000.00343836889,908.888295855412,896.050083726207
"64359","NXN","ENSG00000167693",1482.11446138411,1573.60142503298,1599.34887933424,1183.01060356058,1139.83532185146,1283.4907710135
"643596","RNF224","ENSG00000233198",20.7335506782073,19.0048481284177,29.617571839523,21.4753306092292,19.0386437201043,20.9427398533671
"643641","ZNF862","ENSG00000106479",595.253551729177,562.543504601163,512.922494129921,652.66330851527,687.046708160284,644.737205485802
"643650","LINC00842","ENSG00000285294",367.853318484323,374.395508129828,344.640835950813,259.571387363727,288.890724274625,317.132917779559
"643664","SLC35G6","ENSG00000259224",10.7011874468167,5.7014544385253,6.73126632716432,15.8730704502998,19.0386437201043,19.4468298638409
"643669","CCER2","ENSG00000262484",263.51674087786,293.624903584053,302.906984722394,444.445972608396,479.277161475668,445.781176878814
"643699","GOLGA8N","ENSG00000232653",78.2524332048468,69.3676956687245,75.3901828642404,73.7630920925699,76.154574880417,85.2668694029947
"643707","GOLGA6L4","ENSG00000184206",65.5447731117521,57.014544385253,56.5426371481803,115.78004328454,119.198465030218,110.69733922494
"643719","SCGB1B2P",NA,36.7853318484323,29.4575145990474,29.617571839523,66.2934118806641,62.9103009881706,40.389569717208
"643723","LYPLAL1-DT","ENSG00000228063",10.7011874468167,5.7014544385253,16.1550391851944,9.33710026488226,9.10543830091943,2.99181997905244
"64374","SIL1","ENSG00000120725",1599.15869908366,1642.96912070171,1571.07756076015,1530.3507334142,1448.59245696445,1391.19629025939
"643749","TRAF3IP2-AS1","ENSG00000231889",76.2459605585687,63.6662412301992,68.6589165370761,98.973262807752,134.926040277261,125.656439120203
"64375","IKZF4","ENSG00000123411",100.323632313906,95.0242406420883,94.2377285803005,112.978913205075,150.653615524303,119.672799162098
"64376","IKZF5","ENSG00000095574",260.17261980073,274.620055455635,263.865640024841,417.368381840237,428.783367261478,406.887517151132
"643783","USP46-DT","ENSG00000248866",25.4153201861896,17.1043633155759,20.193798981493,16.8067804767881,30.6273833758199,25.4304698219458
"643827","CNTNAP3P2",NA,621.337696130792,557.792292569058,541.193812704011,614.381197429253,567.848243130066,551.990786135176
"643836","ZFP62","ENSG00000196670",811.952597527214,687.025259842299,749.863068846105,629.320557853064,571.159311603128,540.023506218966
"643837","LINC01128","ENSG00000228794",282.912643125216,241.361571230904,245.018094308781,208.217335906874,215.219450749005,255.800608208984
"643853","TMPPE","ENSG00000188167",313.678557034813,266.067873797847,290.790705333499,190.476845403598,224.324889049924,212.419218512724
"64386","MMP25","ENSG00000008516",104.336577606462,98.8252102677719,102.315248172898,213.819596065804,221.841587695128,246.825148271827
"643862","SPDYE10","ENSG00000274570",78.9212574202729,79.8203621393542,75.3901828642404,72.8293820660816,78.6378762352132,73.2995894867849
"643866","CBLN3","ENSG00000139899",49.4929919415271,59.8652716045156,45.7726110247174,123.249723496446,111.748560965829,122.66461914115
"64388","GREM2","ENSG00000180875",38.1229802792844,34.2087266311518,44.4263577592845,28.945010821135,24.8330135479621,38.8936597276818
"643904","RNF222","ENSG00000189051",7.35706636968646,8.55218165778795,9.42377285803005,33.6135609535761,32.2829176123507,28.4222898009982
"643911","CRNDE","ENSG00000245694",258.166147154452,255.615207327218,212.708015938393,211.018465986339,158.931286706957,179.509198743147
