"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENSEMBL","sig","dir","nlp","Contrast"
"79596",336.50326998357,-0.0480855129704936,0.135524976591244,-0.354809232806762,0.722732511056911,0.840776392309761,"OBI1","ENSG00000152193",FALSE,"NS",0.0753194911205609,"Interaction_KO:ZIKV"
"51686",434.660222155054,-0.0455168508443156,0.128357891605439,-0.354608900746284,0.722882607145113,0.840890446879971,"OAZ3","ENSG00000143450",FALSE,"NS",0.0752605813895727,"Interaction_KO:ZIKV"
"105369154",837.284268071253,-0.0355158918099193,0.100229172618194,-0.354346852140654,0.723078959616314,0.841058288712697,"PKD1P6-NPIPP1","ENSG00000290394",FALSE,"NS",0.0751739048096212,"Interaction_KO:ZIKV"
"257218",175.951381847533,0.0669175941357734,0.188934029292046,0.354184973382085,0.72320026414248,0.841138819710391,"SHPRH","ENSG00000146414",FALSE,"NS",0.0751323232758375,"Interaction_KO:ZIKV"
"55627",1791.84415381423,-0.0285293262248366,0.0805660500974962,-0.354111020588847,0.723255683292691,0.841142714752349,"SMPD4","ENSG00000136699",FALSE,"NS",0.0751303122031432,"Interaction_KO:ZIKV"
"145788",40.0991057172825,0.147224439903421,0.416017070719948,0.353890381586118,0.723421035583152,0.841274451717676,"PIERCE2","ENSG00000261652",FALSE,"NS",0.0750622997763073,"Interaction_KO:ZIKV"
"83549",789.157646239827,0.0370262584865653,0.10465147427755,0.353805416905706,0.723484713646241,0.841287940126791,"UCK1","ENSG00000130717",FALSE,"NS",0.0750553366566312,"Interaction_KO:ZIKV"
"388795",93.9582353517083,0.0865692411692091,0.244871603812702,0.353529114120657,0.723691806174312,0.841468180878128,"EFCAB8","ENSG00000215529",FALSE,"NS",0.0749623017087358,"Interaction_KO:ZIKV"
"105371430",38.7962140291608,0.130893789323552,0.370490518997767,0.353298620643895,0.723864579508124,0.841608494125107,"LOC105371430","ENSG00000241525",FALSE,"NS",0.0748898899524004,"Interaction_KO:ZIKV"
"79960",1966.96683117895,-0.0254221442862675,0.0719907846462,-0.353130534848385,0.723990582155035,0.841694412675958,"JADE1","ENSG00000077684",FALSE,"NS",0.0748455557420696,"Interaction_KO:ZIKV"
