"GeneID","SYMBOL","ENSEMBL","ENTREZID","ZIKV_1","ZIKV_2","ZIKV_3","Control_1","Control_2","Control_3"
"ENSG00000121316","PLBD1","ENSG00000121316","79887",34,45,17,156,117,168
"ENSG00000121318","TAS2R10","ENSG00000121318","50839",16,8,9,15,12,5
"ENSG00000121335","PRB2","ENSG00000121335","653247",2,0,0,0,0,0
"ENSG00000121350","PYROXD1","ENSG00000121350","79912",293,459,265,178,265,248
"ENSG00000121351","IAPP","ENSG00000121351","3375",30,47,26,20,11,8
"ENSG00000121361","KCNJ8","ENSG00000121361","3764",22,30,15,39,60,60
"ENSG00000121380","BCL2L14","ENSG00000121380","79370",10,18,8,12,7,1
"ENSG00000121390","PSPC1","ENSG00000121390","55269",859,1115,646,1166,1547,1417
"ENSG00000121406","ZNF549","ENSG00000121406","256051",192,228,175,117,94,102
"ENSG00000121410","A1BG","ENSG00000121410","1",34,32,20,2,9,7
"ENSG00000121413","ZSCAN18","ENSG00000121413","65982",57,69,51,26,42,37
"ENSG00000121417","ZNF211","ENSG00000121417","10520",882,1502,905,223,252,266
"ENSG00000121440","PDZRN3","ENSG00000121440","23024",13,5,10,9,14,5
"ENSG00000121446","RGSL1","ENSG00000121446","353299",1,1,0,0,0,0
"ENSG00000121454","LHX4","ENSG00000121454","89884",60,67,58,96,112,119
"ENSG00000121481","RNF2","ENSG00000121481","6045",440,704,371,521,350,513
"ENSG00000121486","TRMT1L","ENSG00000121486","81627",784,1123,701,789,1236,1017
"ENSG00000121542","SEC22A","ENSG00000121542","26984",377,642,343,275,249,317
"ENSG00000121552","CSTA","ENSG00000121552","1475",7,12,3,1,4,5
"ENSG00000121570","DPPA4","ENSG00000121570","55211",0,0,1,1,16,2
"ENSG00000121577","POPDC2","ENSG00000121577","64091",62,71,30,4,1,8
"ENSG00000121578","B4GALT4","ENSG00000121578","8702",1632,2076,1215,4195,5762,5279
"ENSG00000121579","NAA50","ENSG00000121579","80218",2724,3895,2460,4168,6097,4783
"ENSG00000121594","CD80","ENSG00000121594","941",8,5,6,0,1,3
"ENSG00000121621","KIF18A","ENSG00000121621","81930",806,1003,635,827,1084,1277
"ENSG00000121644","DESI2","ENSG00000121644","51029",1357,1519,1012,1484,1603,1719
"ENSG00000121653","MAPK8IP1","ENSG00000121653","9479",434,498,357,341,254,301
"ENSG00000121671","CRY2","ENSG00000121671","1408",2000,2194,1498,330,342,335
"ENSG00000121680","PEX16","ENSG00000121680","9409",783,1217,706,617,821,723
"ENSG00000121690","DEPDC7","ENSG00000121690","91614",843,994,579,585,623,573
"ENSG00000121691","CAT","ENSG00000121691","847",339,512,311,1427,1515,2055
